id_desk,kode_satker,id_pengguna,link,keterangan,pjk,target_bulan,progress,created_at,updated_at,status
1,1100,1,https://drive.google.com/drive/folders/18hq59W4j75IXp6VOG3lw1R5yCLUlGNrq?usp=sharing,"1.SK Tim CAN belum ada 
2. Daftar hadir atau sertifikat bukti keikutsertaan Pembinaan Tim kerja
3. BUkti keikutsertaan TIM CAN",Bigram,,,,,
2,1100,1,https://drive.google.com/drive/folders/1QjUfUztovxIrzqz7iZmBW769_57q4GzJ?usp=sharing,bukti dukung belum di upload,,,,,,
3,1100,1,https://drive.google.com/drive/folders/1jXRKjCoYeULwxVotapR_MVA9L4Edm_4l?usp=sharing,,,,,,,
4,1100,1,https://drive.google.com/drive/folders/1nvw4R9keLPMrCI9FR6y-K-lbRz9lbrYS?usp=sharing,,,,,,,
5,1100,1,https://drive.google.com/drive/folders/1no20xcrH73oeLrd9J0leaCh20U7WGHHJ?usp=sharing,,CAN dan Humas,,,,,
6,1100,1,https://drive.google.com/drive/folders/1fWlgU-BSVfBY4cMFMXZosH_qcJV0gqaF?usp=drive_link,,,,,,,
7,1100,1,https://drive.google.com/drive/folders/1rgxOpb2FY7AKN7VOtdqVb0KPYGtGB6v4?usp=drive_link,,,,,,,
8,1100,1,https://drive.google.com/drive/folders/1wQzsiHC9BPMnj-m2iUayfNGH05ulwAeS?usp=drive_link,,,,,,,
9,1100,1,https://drive.google.com/drive/folders/1iviGyw1nohCb9So9LjHtDU-bS1Agqxpw?usp=drive_link,,,,,,,
10,1100,1,https://drive.google.com/drive/folders/1E4R-djWt--w3XKYHxHMXuVuLyi4LB15c?usp=drive_link,,,,,,,
11,1100,1,https://drive.google.com/drive/folders/1TAboE5lX85HZGOTY5THy34OuY-p-fOD5?usp=drive_link,,,,,,,
12,1100,1,https://drive.google.com/drive/folders/1UTTnpeThshg_D4xaQ_MdHMkkz_7ngyfz?usp=drive_link,,,,,,,
13,1100,1,https://drive.google.com/drive/folders/1_QhcGTPd24iCFIub356FMcUN_T3CBgvy?usp=drive_link,,masing-masing tim,,,,,
14,1100,1,,,,,,,,
15,1100,1,https://drive.google.com/drive/folders/1QiXQvdTiJVnEqxY9Zc2W8f_j3ymLF0SK?usp=drive_link,,,,,,,
16,1100,1,https://drive.google.com/drive/folders/1zZvsHUnUgzGrh1nV86Yy3yhiWsRpVx-C?usp=drive_link,,masing-masing tim,,,,,
17,1100,1,https://drive.google.com/drive/folders/11M5Ha2TzGGMCIgqOs51hRN8ZXQzNCi-g?usp=drive_link,,,,,,,
18,1100,1,https://drive.google.com/drive/folders/1aL3XoDqa1x-hEH-UKpVST_ZkI7noJgq3?usp=drive_link,,,,,,,
19,1100,1,https://drive.google.com/drive/folders/1P1OpBrXkr_4Mlcg4OMU3_RBbV9iMmI1y?usp=drive_link,,,,,,,
20,1100,1,https://drive.google.com/drive/folders/1992s_tg_WVObyH_WvXPEpko5_oFe55Ag?usp=drive_link,,,,,,,
21,1100,1,https://drive.google.com/drive/folders/1me1dy8CERX0PvYcKNIK6cp4bhh11dEfk?usp=drive_link,,,,,,,
22,1100,1,https://drive.google.com/drive/folders/1DNt-UVJuJJkrnNNoUMblBoQdyT6ecM_N?usp=drive_link,,,,,,,
23,1100,1,https://drive.google.com/drive/folders/1-4msXPEItyFi-XYNmD7HbSccutSUpbR8?usp=drive_link,,SDM,,,,,
24,1100,1,https://drive.google.com/drive/folders/1Gx4iuBr9_61d6ArpYevT4GhErP3aOp0i?usp=drive_link,,SDM,,,,,
25,1100,1,https://drive.google.com/drive/folders/1q5qz4o5vYK7CTwtkpXlMfieU9kCTw08u?usp=drive_link,,SDM,,,,,
26,1100,1,https://drive.google.com/drive/folders/1O18vJbY9iX7uXBZWhPs9ikDSrighv3U0?usp=drive_link,,sdm,,,,,
27,1100,1,https://drive.google.com/drive/folders/1qE00Y_7XyoRQreY4B_sRcQaAI3TVCSYY?usp=drive_link,,sdm,,,,,
28,1100,1,https://drive.google.com/drive/folders/133yjnnghWI2Z6c3Eh1g7rJHGt5nqOL0H?usp=drive_link,,sdm,,,,,
29,1100,1,https://drive.google.com/drive/folders/1lzw9c1w30I9rD1-qTNIEp54EMCp2D6_v?usp=drive_link,,,,,,,
30,1100,1,https://drive.google.com/drive/folders/18nJLirxK6Z5KOgzAPVCkyIKDiV1MXSU_?usp=drive_link,,,,,,,
31,1100,1,https://drive.google.com/drive/folders/12ny_lO5gen4lmPZLz8v28BDeOG5KnU-F?usp=drive_link,,,,,,,
32,1100,1,https://drive.google.com/drive/folders/1lY9V9Sjk7puhtR9c9Mkcw8DquStYoiBy?usp=drive_link,,,,,,,
33,1100,1,https://drive.google.com/drive/folders/13h-RxQGwPUak_4HdtU1v33P6yLRGba8n?usp=drive_link,,,,,,,
34,1100,1,https://drive.google.com/drive/folders/1SUTDV3z8PaYdeQjElTDZFUa7IwyJHFuI?usp=drive_link,,,,,,,
35,1100,1,https://drive.google.com/drive/folders/17blRWt-vSvuDTivOOdz7o2ZbZn-R021x?usp=drive_link,,,,,,,
36,1100,1,https://drive.google.com/drive/folders/148vyUl_QXqff6sNouumzFwDaK0wcqgsq?usp=drive_link,,,,,,,
37,1100,1,https://drive.google.com/drive/folders/10mhJfnipNHNp8HxaE3Z6YXPKXu2rX_7J?usp=drive_link,,SDM,,,,,
38,1100,1,https://drive.google.com/drive/folders/1diz0fHV_N4Pl23W3fBx8RZDUKKPx-CWU?usp=drive_link,,,,,,,
39,1100,1,https://drive.google.com/drive/folders/1Nzzmt7GSEyunUyra0BggnNm-nwQUz39g?usp=drive_link,,,,,,,
40,1100,1,https://drive.google.com/drive/folders/1CvGHurnBUFDV059TmrkoeTxdsj7zCTWq?usp=drive_link,,,,,,,
41,1100,1,https://drive.google.com/drive/folders/1FFcBByOBL5TIoqinoUh3qqOTFOHlRSlz?usp=drive_link,Tambahkan foto rapat penetapan PK 2025,Perencanaan,,,,,
42,1100,1,https://drive.google.com/drive/folders/1wTffGS3mYNDetXUrTSuc8LZy-ExODh3Y?usp=drive_link,Tambahkan foto rapat penetapan PK 2025,Perencanaan,,,,,
43,1100,1,https://drive.google.com/drive/folders/1DH3egrn7MJK8OU26ZkYClIil62RXcbxz?usp=drive_link,Tidak ada target,Perencanaan,,,,,
44,1100,1,https://drive.google.com/drive/folders/1XRk-Qnv454crmpEWM7ahVh1aKTVF2uXD?usp=drive_link,Tidak ada target,Perencanaan,,,,,
45,1100,1,https://drive.google.com/drive/folders/1iY0fxw3W0qw1wDia_ZpAilS2lxpoPdlw?usp=drive_link,Sesuai,Perencanaan,,,,,
46,1100,1,https://drive.google.com/drive/folders/1k_iuecJBoZDr0tJnnnDLA-bwizAguf4N?usp=drive_link,Tidak ada target,Perencanaan,,,,,
47,1100,1,https://drive.google.com/drive/folders/1HBL8C5vFmxUX2y8mz5BQ6lk0hDWMgWfo?usp=drive_link,Tidak ada target,Perencanaan,,,,,
48,1100,1,https://drive.google.com/drive/folders/12HJJJTFBHhKNnGXIFppm7mfrvCocqtLU?usp=drive_link,Tidak ada target,Perencanaan,,,,,
49,1100,1,https://drive.google.com/drive/folders/1d_Bjn9HVUSZnVTm_OCBu3l9RYbYxc3gZ?usp=drive_link,Tidak ada target,Perencanaan,,,,,
50,1100,1,https://drive.google.com/drive/folders/1BET2BKO5RuokqRW3NnFlzV0eHhPy-qpj?usp=drive_link,Tidak ada target,"Perencanaan &
Pilar II (SOP)",,,,,
